	'prog'	'id'	';'	'inicio'	'fim'	'vetor'	'['	']'	'de'	'='	'('	')'	','	'..'	'var'	':'	'tipo'	':='	'registro'	'value'	'rotulo'	'const'	'proc'	'func'	'ref'	'pare'	'continue'	'pule'	'escreva'	'leia'	'retorne'	'para'	'faca'	'enquanto'	'repita'	'ate'	'se'	'entao'	'senao'	'caso'	'seja'	'and'	'or'	'=='	'!='	'>'	'<'	'>='	'<='	'~'	'+'	'-'	'*'	'/'	'inteiro'	'real'	'logico'	'texto'	'literalint'	'literalreal'	'literallogico'	'literaltexto'	'.'	ε
T0	'prog' 'id' ';' T1 T2, 1																																																															
T1				ε, 4											T3 ';' T1, 3		T3 ';' T1, 3				T3 ';' T1, 3	T3 ';' T1, 3	T3 ';' T1, 3	T3 ';' T1, 3																																								
T2				'inicio' T4 'fim', 2																																																												
T3															T5, 5		T6, 6				T7, 7	T8, 8	T9, 9	T9, 9																																								
T4		T10, 44		T10, 44	ε, 45																					T10, 44	T10, 44	T10, 44	T10, 44	T10, 44	T10, 44	T10, 44		T10, 44	T10, 44		T10, 44			T10, 44																								
T5															'var' T11 ':' T12, 17																																																	
T6																	'tipo' 'id' T13, 22																																															
T7																					'rotulo' T14, 32																																											
T8																						'const' 'id' '=' T15, 33																																										
T9																							T16, 34	T17, 35																																								
T10		T18 T19, 56		T18 T19, 56																						T18 T19, 56	T18 T19, 56	T18 T19, 56	T18 T19, 56	T18 T19, 56	T18 T19, 56	T18 T19, 56		T18 T19, 56	T18 T19, 56		T18 T19, 56			T18 T19, 56																								
T11		'id' T20, 133																																																														
T12		T21 T22, 18				T23, 19																																																	T21 T22, 18	T21 T22, 18	T21 T22, 18	T21 T22, 18						
T13						T23, 23												':=' T24, 24																																														
T14		'id' T25, 133																																																														
T15		T26, 99									T26, 99																																							T26, 99	T26, 99	T26, 99							T26, 99	T26, 99	T26, 99	T26, 99		
T16																							'proc' 'id' '(' T27 ')' T28 ';' T29, 36																																									
T17																								'func' 'id' '(' T27 ')' ':' T30 ';' T1 T29, 37																																								
T18		T36 T37, 53		T34, 50																						'pare', 46	'continue', 52	T38, 54	T31, 47	T32, 48	T35, 51	T33, 49		T33, 49	T33, 49		T39, 55			T39, 55																								
T19			';' T10, 57		ε, 58																																																											
T20													',' 'id' T20, 134			ε, 135																																																
T21		'id', 140																																																					'inteiro', 136	'real', 137	'logico', 138	'texto', 139						
T22			ε, 21							'=' T15, 20																																																						
T23						'vetor' '[' T40 ']' 'de' T21 T41, 10																																																										
T24		T44, 28									'(' T43 ')', 27								'registro' T42 'fim', 25	'value', 26																																							T44, 28	T44, 28	T44, 28	T44, 28		
T25			ε, 135										',' 'id' T25, 134																																																			
T26		T45 T46, 100									T45 T46, 100																																							T45 T46, 100	T45 T46, 100	T45 T46, 100							T45 T46, 100	T45 T46, 100	T45 T46, 100	T45 T46, 100		
T27		T47, 38										ε, 39													T47, 38																																							
